time, Acceleration x, Acceleration y, acceleration z, distance
1584,0.00,0.00,0.00,27.97
1689,0.00,0.00,0.00,30.79
1795,0.00,0.00,0.00,30.89
1900,0.00,0.00,0.00,30.89
2007,0.00,0.00,0.00,30.89
2114,-0.32,-0.69,9.42,30.79
2220,-0.34,-0.76,9.43,30.79
2326,-0.35,-0.80,9.45,30.79
2435,-0.36,-0.72,9.45,30.89
2540,-0.33,-0.68,9.43,30.79
2648,-0.33,-0.76,9.42,30.79
2755,-0.34,-0.79,9.41,30.79
2861,-0.31,-0.76,9.43,30.79
2969,-0.32,-0.69,9.44,30.91
3075,-0.35,-0.73,9.42,30.79
3182,-0.37,-0.78,9.45,30.89
3290,-0.33,-0.76,9.43,30.79
3395,-0.35,-0.73,9.45,30.79
3504,-0.35,-0.71,9.44,30.89
3610,-0.33,-0.77,9.45,30.81
3717,-0.29,-0.83,9.44,30.81
3824,-0.72,-1.60,9.04,30.79
3930,-0.16,-0.81,9.65,30.79
4037,0.00,0.18,9.68,30.79
4143,-0.22,-0.70,9.64,30.81
4249,-1.75,-2.67,9.07,30.62
4358,-1.82,0.12,9.18,29.14
4463,-0.90,-1.37,9.08,26.31
4571,0.63,-0.91,9.26,23.29
4676,0.44,-0.79,9.13,20.80
4783,0.34,-0.57,9.73,18.86
4888,0.01,-0.35,9.61,17.28
4994,-0.05,-0.78,9.52,16.51
5100,-0.09,-0.65,9.61,15.51
5206,-0.25,-0.45,9.45,14.90
5311,-0.17,-0.89,9.53,14.16
5416,-0.24,-0.88,9.43,13.13
5522,-0.32,-0.60,9.32,12.79
5627,0.13,-1.15,9.74,11.88
5734,-0.02,-0.28,9.57,11.81
5839,0.05,-0.51,9.89,11.60
5944,-0.58,-1.22,9.08,11.88
6048,-0.21,-0.34,9.53,11.77
6154,0.33,-0.58,9.94,12.15
6260,0.44,-0.27,9.87,12.99
6365,2.86,-1.02,10.93,16.17
6473,2.24,-0.02,8.96,22.88
6580,-2.05,-1.20,7.20,31.36
6686,-3.30,-0.32,8.93,37.77
6795,-2.30,-2.02,9.30,41.65
6901,-1.08,-0.60,9.41,43.87
7009,-0.93,-0.81,9.25,45.50
7115,-0.94,-0.91,9.52,46.92
7223,-0.82,-0.76,9.46,48.00
7330,-0.69,-0.91,9.25,48.60
7440,-0.81,-0.81,9.37,49.29
7547,-0.98,-0.87,9.54,49.86
7654,-0.76,-1.09,9.66,50.11
7762,-0.69,-0.82,9.29,50.27
7870,-1.39,-0.95,9.49,50.42
7976,0.01,-0.36,10.35,49.70
8085,-0.62,0.70,9.51,49.15
8195,-0.89,-0.60,9.78,48.52
8302,-0.73,-0.40,9.57,47.21
8409,-0.77,-1.02,9.65,45.45
8517,-0.50,-0.90,9.54,42.89
8626,0.02,-1.29,8.97,40.54
8732,-0.25,-0.60,9.16,38.19
8840,-0.53,-0.69,9.44,35.99
8947,-0.31,-0.89,9.21,33.78
9054,-0.34,-0.86,9.25,31.66
9161,-0.07,-0.83,9.34,29.33
9267,-0.09,-0.58,9.42,27.48
9373,-0.34,-0.88,9.35,25.88
9480,-0.28,-0.75,9.39,24.46
9585,-0.25,-0.76,9.44,23.01
9693,-0.24,-0.56,9.38,21.45
9797,-0.32,-0.78,9.35,20.25
9905,-0.26,-0.88,9.41,18.88
10010,0.01,-0.61,9.55,17.90
10117,-0.21,-0.46,9.45,17.15
10222,-0.19,-1.05,9.43,16.03
10329,0.08,-0.48,9.70,15.75
10433,0.40,-0.85,10.27,15.75
10540,0.47,-0.99,9.83,15.96
10645,0.54,-0.74,9.88,17.35
10752,0.61,-0.57,9.53,20.32
10857,0.01,-1.00,9.53,23.96
10963,-1.00,-0.37,9.42,28.06
11072,-1.05,0.57,9.22,31.49
11177,-0.89,-0.39,9.45,34.46
11284,-0.81,-1.50,9.07,36.86
11390,-0.69,-0.04,9.39,38.86
11498,-1.09,-0.84,9.34,40.90
11607,-0.96,-0.49,9.59,42.34
11714,-0.60,-0.85,9.34,43.52
11822,-0.82,-0.56,9.54,44.52
11930,-1.06,-0.73,9.50,45.55
12037,-0.58,-0.90,9.30,46.18
12144,-1.69,-0.74,9.85,46.66
12251,-3.35,0.13,6.95,45.89
12355,-1.90,-0.87,11.64,2.23
12461,-3.05,-2.48,9.96,3.42
12565,-0.42,-0.54,7.61,3.05
12672,2.34,-0.22,8.77,2.64
12776,2.83,-0.95,10.76,2.93
12882,-0.27,0.24,9.31,16.85
12988,-0.82,-1.56,9.27,15.75
13092,-0.29,-0.34,9.64,14.36
13198,-0.17,-0.64,9.81,13.64
13304,-0.70,-0.83,9.35,13.06
13410,-0.59,-0.65,9.50,12.56
13515,-0.41,-0.71,9.65,12.15
13621,-0.39,-0.84,9.65,12.53
13728,-0.64,-0.77,9.41,12.17
13833,-0.73,-0.59,9.29,12.22
13939,-0.55,-0.64,9.62,12.41
