time, Acceleration x, Acceleration y, acceleration z, distance
4322,-0.14,-0.63,9.45,27.46
4338,-0.15,-0.62,9.44,27.56
4357,-0.15,-0.62,9.39,27.46
4372,-0.14,-0.62,9.40,27.46
4389,-0.15,-0.62,9.43,27.56
4407,-0.16,-0.64,9.41,27.46
4422,-0.14,-0.63,9.42,27.46
4440,-0.14,-0.63,9.46,27.44
4457,-0.13,-0.65,9.43,27.46
4472,-0.16,-0.64,9.44,27.55
4490,-0.16,-0.62,9.45,27.44
4507,-0.15,-0.64,9.42,27.46
4523,-0.15,-0.64,9.41,27.56
4540,-0.16,-0.61,9.45,27.46
4557,-0.15,-0.63,9.39,27.56
4573,-0.12,-0.61,9.40,27.56
4590,-0.14,-0.61,9.44,27.44
4608,-0.15,-0.62,9.39,27.55
4624,-0.15,-0.64,9.46,27.46
4640,-0.16,-0.63,9.42,27.44
4658,-0.12,-0.64,9.45,27.56
4674,-0.14,-0.63,9.42,27.46
4690,-0.17,-0.63,9.45,27.56
4709,-0.16,-0.65,9.41,27.56
4724,-0.14,-0.64,9.42,27.46
4741,-0.14,-0.63,9.43,27.56
4759,-0.14,-0.62,9.45,27.46
4774,-0.16,-0.63,9.45,27.46
4792,-0.15,-0.64,9.43,27.56
4809,-0.16,-0.62,9.42,27.46
4825,-0.14,-0.63,9.47,27.46
4842,-0.13,-0.64,9.43,27.44
4859,-0.12,-0.62,9.42,27.44
4875,-0.15,-0.63,9.42,27.46
4892,-0.13,-0.63,9.41,27.46
4910,-0.14,-0.61,9.41,27.44
4925,-0.16,-0.63,9.46,27.56
4942,-0.13,-0.62,9.43,27.46
4960,-0.14,-0.64,9.41,27.46
4975,-0.15,-0.64,9.45,27.56
4993,-0.14,-0.61,9.40,27.44
5010,-0.14,-0.62,9.44,27.55
5025,-0.14,-0.63,9.46,27.56
5043,-0.14,-0.62,9.41,27.46
5060,-0.14,-0.61,9.42,27.56
5076,-0.13,-0.64,9.45,27.56
5093,-0.13,-0.62,9.43,27.56
5111,-0.15,-0.65,9.42,27.56
5127,-0.14,-0.64,9.42,27.46
5143,-0.16,-0.64,9.45,27.56
5161,-0.16,-0.64,9.42,27.56
5177,-0.16,-0.64,9.45,27.44
5193,-0.13,-0.62,9.49,27.56
5212,-0.14,-0.64,9.43,27.46
5227,-0.14,-0.62,9.43,27.46
5244,-0.15,-0.63,9.44,27.56
5262,-0.14,-0.63,9.42,27.46
5277,-0.13,-0.63,9.42,27.44
5295,-0.14,-0.61,9.45,27.46
5312,-0.12,-0.62,9.42,27.46
5327,-0.13,-0.62,9.45,27.56
5345,-0.16,-0.61,9.44,27.46
5362,-0.14,-0.66,9.40,27.46
5378,-0.14,-0.63,9.45,27.56
5395,-0.14,-0.62,9.44,27.46
5412,-0.12,-0.64,9.40,27.56
5429,-0.13,-0.66,9.42,27.56
5445,-0.13,-0.64,9.41,27.46
5463,-0.15,-0.62,9.42,27.56
5479,-0.15,-0.64,9.45,27.55
5495,-0.12,-0.63,9.43,27.44
5513,-0.14,-0.64,9.42,27.56
5529,-0.15,-0.62,9.44,27.46
5545,-0.16,-0.65,9.44,27.56
5564,-0.15,-0.66,9.45,27.56
5579,-0.13,-0.65,9.43,27.46
5596,-0.14,-0.64,9.43,27.56
5614,-0.13,-0.63,9.42,27.56
5629,-0.12,-0.64,9.43,27.46
5646,-0.15,-0.61,9.46,27.56
5664,-0.16,-0.64,9.41,27.46
5680,-0.13,-0.63,9.46,27.44
5697,-0.14,-0.62,9.45,27.56
5714,-0.15,-0.63,9.39,27.46
5730,-0.14,-0.63,9.45,27.46
5747,-0.15,-0.60,9.44,27.44
5765,-0.15,-0.61,9.43,27.46
5780,-0.13,-0.65,9.43,27.46
5797,-0.13,-0.66,9.44,27.46
5815,-0.15,-0.64,9.40,27.44
5830,-0.13,-0.60,9.44,27.56
5848,-0.15,-0.63,9.48,27.46
5865,-0.15,-0.63,9.43,27.56
5880,-0.13,-0.62,9.43,27.56
5898,-0.15,-0.62,9.47,27.46
5915,-0.16,-0.63,9.45,27.56
5932,-0.14,-0.63,9.43,27.55
5948,-0.14,-0.63,9.43,27.51
5966,-0.15,-0.65,9.41,27.55
5982,-0.14,-0.63,9.46,27.44
5998,-0.15,-0.64,9.43,27.56
6017,-0.14,-0.65,9.42,27.55
6032,-0.15,-0.63,9.45,27.46
6049,-0.13,-0.62,9.43,27.56
6067,-0.16,-0.62,9.41,27.46
6082,-0.16,-0.64,9.41,27.46
6099,-0.15,-0.64,9.42,27.56
6117,-0.14,-0.64,9.40,27.46
6132,-0.12,-0.61,9.43,27.44
6150,-0.16,-0.63,9.41,27.46
6167,-0.15,-0.62,9.41,27.46
6182,-0.15,-0.65,9.41,27.44
6200,-0.14,-0.64,9.44,27.46
6217,-0.15,-0.60,9.43,27.46
6233,-0.14,-0.63,9.42,27.56
6250,-0.14,-0.63,9.43,27.46
6267,-0.16,-0.63,9.42,27.56
6283,-0.16,-0.63,9.43,27.56
6300,-0.14,-0.64,9.43,27.46
6318,-0.14,-0.61,9.42,27.56
6334,-0.13,-0.65,9.41,27.55
6350,-0.15,-0.62,9.44,27.55
6368,-0.14,-0.63,9.41,27.56
6384,-0.16,-0.62,9.43,27.46
6401,-0.16,-0.63,9.43,27.56
6419,-0.17,-0.64,9.44,27.56
6434,-0.15,-0.64,9.44,27.44
6452,-0.14,-0.63,9.42,27.55
6469,-0.14,-0.64,9.41,27.46
6484,-0.14,-0.62,9.46,27.44
6502,-0.16,-0.64,9.44,27.46
6519,-0.15,-0.62,9.41,27.46
6535,-0.14,-0.64,9.41,27.46
6552,-0.14,-0.63,9.42,27.44
6569,-0.16,-0.63,9.42,27.46
6585,-0.15,-0.63,9.44,27.56
6602,-0.14,-0.64,9.45,27.44
6620,-0.14,-0.62,9.41,27.46
6635,-0.15,-0.65,9.44,27.55
6652,-0.15,-0.65,9.42,27.44
6670,-0.14,-0.63,9.42,27.46
6685,-0.14,-0.64,9.45,27.56
6703,-0.13,-0.63,9.45,27.44
6720,-0.15,-0.63,9.43,27.55
