time, Acceleration x, Acceleration y, acceleration z, distance
1780,0.00,0.00,0.00,34.03
1886,0.00,0.00,0.00,37.14
1992,0.00,0.00,0.00,37.12
2098,0.00,0.00,0.00,37.12
2204,0.00,0.00,0.00,37.02
2312,-0.91,-0.88,9.40,37.12
2418,-0.86,-0.93,9.35,37.12
2527,-0.88,-1.05,9.39,37.12
2633,-1.01,-0.98,9.60,37.12
2741,-0.58,-0.40,9.78,37.12
2848,-0.78,-0.89,9.66,37.14
2956,-1.00,-1.88,9.20,37.04
3062,-1.16,-1.48,9.76,36.93
3169,-2.53,-1.96,9.56,35.75
3274,-1.11,-0.50,8.77,33.05
3381,-1.30,-0.43,9.28,30.29
3486,-0.76,-0.41,9.20,27.32
3594,-0.06,-0.79,9.38,24.35
3700,-0.54,-0.71,9.38,22.07
3806,-0.49,-0.68,9.42,20.10
3913,-0.24,-1.14,9.60,18.64
4019,-0.59,-0.86,9.60,17.33
4123,-0.64,-0.75,9.37,16.15
4229,0.62,-0.33,10.31,15.19
4334,-0.66,0.53,8.29,15.98
4440,0.82,-3.05,9.99,18.29
4546,-0.20,-0.09,8.95,22.24
4653,-0.67,-1.77,8.86,27.25
4760,-1.77,-2.28,9.79,32.16
4867,-1.81,-0.60,10.24,36.45
4974,-1.47,-1.34,8.76,40.23
5081,-2.20,-0.42,9.40,43.35
5188,-2.30,-1.05,9.82,45.22
5297,-1.30,-0.66,9.68,45.94
5405,-0.79,-0.88,9.13,46.63
5512,-1.30,-0.86,9.53,47.54
5619,-2.13,-0.79,8.05,47.61
5728,-1.01,-0.51,9.67,47.23
5835,-0.82,0.53,8.96,47.04
5942,-1.29,-0.67,9.28,47.13
6050,-0.99,-1.08,9.36,47.14
6160,-1.26,-0.40,9.34,46.92
6266,-1.90,-1.44,9.83,46.01
6374,-2.11,-1.10,9.59,43.87
6482,-0.47,-0.75,9.24,40.35
6589,2.07,-1.42,9.31,38.37
6695,-1.32,-0.24,9.12,38.37
6802,-0.95,-1.10,9.29,38.37
6908,-0.80,-1.20,9.45,38.20
7017,-1.76,-0.77,9.43,38.10
7124,-4.03,-2.18,9.65,35.82
7230,-4.67,-1.09,7.40,29.69
7337,2.83,-1.52,8.80,20.92
7443,3.56,-0.31,11.52,16.12
7547,0.92,-0.45,11.47,15.60
7653,-0.48,-0.96,9.66,15.74
7757,0.53,-1.38,10.26,16.78
7863,0.19,-0.59,9.80,19.19
7970,-0.49,-0.79,9.03,22.41
8076,-0.74,-1.01,9.09,26.14
8183,-1.17,-0.88,9.03,29.93
8290,-0.74,-1.38,9.11,33.67
8397,-1.19,0.57,9.07,37.55
8504,-1.43,-0.93,8.70,40.90
8610,-1.85,-1.51,9.26,43.87
8717,-3.44,-1.16,10.26,45.46
8824,-4.64,0.11,6.88,44.81
8931,-6.51,-1.62,11.41,41.14
9039,-4.48,-0.46,6.28,31.25
9145,4.69,-0.25,6.61,19.96
9251,3.30,-0.35,11.36,14.43
9356,1.34,-0.45,11.01,12.91
9460,-1.00,-0.63,9.13,13.08
9566,-0.36,-0.91,9.98,13.11
9670,-0.31,-1.12,9.77,13.95
9775,-0.30,-1.09,9.54,14.85
9882,-0.71,-0.73,9.38,16.42
9988,-0.05,-1.19,9.63,18.64
10094,0.34,-1.00,9.54,21.83
10200,-0.34,-0.45,9.23,26.03
10308,-0.56,-1.00,8.81,30.70
10414,-1.50,-1.12,9.25,35.25
10520,-1.81,0.37,5.84,39.06
10627,-1.73,-0.55,9.32,42.17
10734,-1.30,-1.07,9.36,44.79
10843,-1.37,-1.20,9.36,47.14
10951,-1.41,-0.94,9.61,49.39
11060,-1.63,-1.05,9.47,50.80
11166,-0.24,-0.47,12.58,50.99
11274,-1.42,-0.78,9.19,50.66
11380,-0.84,-1.32,10.46,49.53
11488,-1.16,-1.27,9.39,48.84
11596,-1.09,-1.24,9.67,47.18
11704,-1.26,-1.19,9.50,45.21
11810,-1.07,-1.31,9.20,42.58
11919,-0.59,-0.97,9.11,39.82
12025,0.02,-1.29,9.72,37.40
12132,-1.12,-0.90,9.23,35.41
12237,-1.22,-1.08,9.27,33.12
12343,-0.67,-1.17,9.29,30.60
12451,-0.34,-1.28,9.35,27.97
12557,-0.50,-1.09,9.40,25.59
12663,-1.07,-0.54,9.18,23.37
12771,-0.85,-0.96,9.17,20.75
12875,-0.61,-1.15,9.20,18.16
12981,-0.29,-1.01,9.52,15.81
13086,-0.13,-0.71,9.80,13.88
13191,0.50,-0.97,10.23,12.77
13296,-0.97,0.88,8.99,12.84
13402,-0.22,-1.58,9.42,14.23
13508,0.25,-1.34,9.69,16.92
13615,-0.19,-0.11,9.12,20.75
13720,-0.36,-1.17,9.24,25.62
13829,-0.87,-1.28,9.17,30.84
13934,-1.25,-1.58,8.90,36.30
14043,-2.26,-1.21,8.65,41.27
14149,-2.46,-0.90,9.33,44.69
14256,-1.78,-0.86,9.56,47.14
14365,-2.25,-0.40,9.77,48.69
14474,-2.24,-0.93,9.98,49.26
14582,-1.14,-0.61,9.10,49.29
14687,-1.09,-0.92,9.40,8.27
14791,-1.19,-1.16,9.28,2.92
14897,-1.23,-1.41,9.28,3.19
15000,-1.40,-1.10,9.12,3.47
15105,-0.72,-1.63,9.93,3.42
15209,-1.08,-0.68,9.65,4.65
15315,-2.11,-0.85,9.58,4.17
15420,-1.16,-1.14,9.19,2.78
15525,-0.70,-0.95,9.05,2.23
15631,-0.29,-1.33,9.04,2.71
15736,-1.26,-0.73,9.31,2.64
15842,-1.01,-0.98,9.21,2.30
15946,-0.32,-1.11,9.43,2.64
16051,-0.56,-0.96,9.28,2.44
16155,-0.93,-0.68,9.09,2.81
16260,-0.66,-0.98,9.22,3.11
16364,-0.53,-0.72,9.33,2.92
16468,-0.52,-0.78,9.47,2.85
16574,-0.59,-0.82,9.48,3.12
16679,-0.57,-0.96,9.41,3.33
16785,0.05,-1.31,9.68,2.57
16890,0.25,-0.14,10.83,2.16
16995,-0.66,-1.47,9.71,2.30
17101,-0.01,-0.81,9.59,2.51
17205,-0.16,-0.87,9.94,2.51
17309,-0.39,-1.24,9.46,2.30
17414,-0.57,-1.05,9.26,3.00
17518,-0.60,-1.01,9.16,3.40
17622,-0.40,-1.01,9.36,3.40
17726,-0.85,-1.15,9.18,3.67
17832,-0.91,-1.01,9.27,2.99
17937,-1.58,-0.94,8.78,3.48
18043,-1.96,-1.53,9.16,2.92
18148,-1.95,-1.06,9.71,2.71
18252,-1.94,-1.01,9.45,3.35
18361,-2.60,-1.09,10.12,49.53
18468,-0.90,-1.46,9.86,49.48
18575,-0.69,-0.88,9.61,49.46
18683,-2.10,-0.93,9.79,49.36
18792,-1.43,-1.43,9.08,48.50
18899,-2.01,-0.68,10.39,47.59
19006,-2.57,-1.11,9.95,44.74
19115,-1.56,-1.59,8.74,40.16
19221,-1.85,-1.34,8.70,34.63
19326,-0.58,-0.58,8.65,28.73
19432,-0.03,-0.69,8.70,23.07
19537,0.59,-0.76,9.52,18.16
19644,0.40,-0.72,9.79,14.78
19749,2.50,-1.01,12.00,13.52
19856,0.98,0.88,9.73,14.57
19961,0.38,-0.90,9.90,16.85
20069,-0.02,-0.40,9.33,20.41
20174,0.00,-0.43,8.90,25.31
20280,-0.27,-1.13,9.46,30.91
20386,-1.81,-0.94,8.54,37.00
20493,-2.30,-0.93,8.79,42.22
20599,-2.19,-0.93,9.39,46.53
20708,-2.30,-1.29,9.57,49.36
20816,-2.43,-0.98,10.25,51.06
20926,-0.37,-1.88,10.20,51.16
21032,-1.19,-1.21,8.05,50.99
21138,-0.79,-1.03,9.87,5.92
21241,-0.86,-1.23,9.32,3.12
21346,-1.41,-1.12,9.48,2.71
21450,-0.51,-0.08,10.67,2.71
21557,-1.00,-0.79,10.12,3.09
21661,-1.76,-1.42,10.07,3.60
21767,-2.26,-0.88,9.77,2.44
21872,-0.06,-1.37,8.10,2.44
21977,0.14,-1.05,8.86,2.16
22083,-0.80,-1.19,9.19,2.47
22187,-1.93,-0.41,8.90,2.85
22291,-0.84,-1.37,8.91,3.14
22395,-0.08,-1.10,9.04,3.12
22500,-0.20,-0.90,9.49,2.93
22604,-0.30,-1.03,9.33,2.99
22709,-0.66,-0.62,9.17,14.35
22815,0.39,-1.20,10.09,12.49
22920,-0.03,-0.58,9.96,11.16
23027,-0.09,-0.46,9.85,10.55
23132,-1.13,0.36,8.90,11.40
23238,-0.21,-1.69,9.95,11.10
23343,1.92,-1.51,11.52,12.87
23448,1.09,-0.16,9.92,16.99
23554,0.36,-0.40,8.61,23.07
23659,-0.45,-0.93,8.74,29.76
23766,-0.87,-0.84,7.21,36.23
23874,-2.29,0.05,8.60,42.30
23982,-2.24,-0.99,10.29,46.70
24089,-6.64,-0.92,11.95,48.91
24199,-1.92,-1.19,12.24,47.63
24305,-2.80,-0.15,9.51,43.49
24411,-0.91,-1.60,6.98,37.96
24517,0.80,-0.77,8.58,32.57
24623,3.67,-1.70,10.15,30.63
24731,-1.44,-0.18,9.34,31.03
24838,-1.62,0.00,9.23,30.91
24944,-1.34,-1.95,9.02,30.84
25052,-1.18,0.17,9.23,30.91
25157,-0.74,-0.53,9.51,31.01
25265,-0.68,-1.83,9.60,30.84
25371,-0.66,-1.44,9.67,30.84
25478,-0.91,-0.47,9.38,30.91
25585,-0.90,-0.82,9.30,30.91
25692,-0.99,-1.51,9.42,30.84
25799,-0.83,-1.31,9.40,30.84
25907,-0.78,-0.43,9.51,30.91
26012,-0.87,-0.67,9.47,30.91
26120,-0.90,-1.44,9.41,31.01
26226,-1.00,-1.18,9.44,30.91
26333,-0.83,-0.47,9.38,30.91
26440,-0.85,-0.93,9.56,30.91
